Room ID,Levels,Room Name,Room Perimeter / m,Room Area / m²,Room Volume / m³,Clear Height / m,Occupancy
1131261,GF,Bedroom (2 persons),15,13.22,34.49,2.83,001
1131263,GF,Bedroom (1 person),12.49,9.66,25.22,2.83,001
1131265,GF,Bedroom (1 person),12.49,9.66,25.22,2.83,002
1131267,GF,Bedroom (2 persons),15,13.22,34.49,2.83,002
1131269,GF,Living room,18.69,21.7,56.65,2.83,001
1131271,GF,Living room,18.69,21.7,56.65,2.83,002
1131273,GF,Conference room (5 persons),19.88,22.63,59.06,2.83,Office
1131275,GF,Office,33.19,36.95,96.43,2.83,Office
1131277,GF,Dinning and recreation area,33.22,53.27,139.03,2.83,Office
1131279,GF,Toilet,10.01,6.13,16,2.83,Office
1131281,GF,Toilet,10.01,6.13,16,2.83,Office
1131283,GF,Bathroom,10.11,6.38,16.66,2.83,001
1131285,GF,Bathroom,10.11,6.38,16.66,2.83,002
1131291,GF,Dinning area,16.82,13.22,34.51,2.83,001
1131306,GF,Kitchen,10.68,7.12,18.6,2.83,001
1131308,GF,Corridor,15.73,12.3,32.1,2.83,002
1131310,GF,Kitchen,10.68,7.12,18.6,2.83,002
1131312,GF,Kitchen,10.07,6.31,16.46,2.83,Office
1131316,GF,Corridor,15.73,12.3,32.1,2.83,001
1131318,GF,Dinning room,16.82,13.22,34.51,2.83,002
1131329,1F,Bedroom (1 person),12.49,9.66,25.22,2.83,102
1131330,1F,Bedroom (1 person),12.49,9.66,25.22,2.83,103
1131331,1F,Living room,18.69,21.7,56.65,2.83,102
1131332,1F,Bedroom (2 persons),15,13.22,34.49,2.83,102
1131333,1F,Bedroom (2 persons),15,13.22,34.49,2.83,103
1131337,1F,Living room,19.34,15.46,40.36,2.83,101
1131338,1F,Living room,19.34,15.46,40.36,2.83,104
1131339,1F,Living room,18.69,21.7,56.65,2.83,103
1131340,1F,Bedroom (2 persons),17,17.45,45.56,2.83,101
1131341,1F,Bedroom (2 persons),17,17.45,45.56,2.83,104
1131343,1F,Bathroom,10.11,6.38,16.66,2.83,102
1131344,1F,Room,10.11,6.38,16.66,2.83,103
1131346,1F,Bathroom,10.01,6.13,16,2.83,101
1131348,1F,Bathroom,10.01,6.13,16,2.83,104
1131349,1F,Corridor,23.72,15.36,40.09,2.83,101
1131350,1F,Kitchen and dinning area,12.68,9.83,25.66,2.83,101
1131351,1F,Kitchen and dinning area,12.68,9.83,25.66,2.83,104
1131352,1F,Corridor,23.72,15.36,40.09,2.83,104
1131353,1F,Kitchen,10.68,7.13,18.61,2.83,102
1131354,1F,Kitchen,10.68,7.13,18.61,2.83,103
1131355,1F,Corridor,15.73,12.3,32.09,2.83,102
1131356,1F,Dinning area,16.82,13.22,34.5,2.83,102
1131357,1F,Dinning ara,16.82,13.22,34.5,2.83,103
1131358,1F,Corridor,15.73,12.3,32.09,2.83,103
1131385,2F,Bedroom (1 person),12.49,9.66,28.99,3,202
1131386,2F,Bedroom (1 person),12.49,9.66,28.99,3,203
1131387,2F,Bedroom ( 2 persons),15,13.22,39.65,3,202
1131388,2F,Bedroom ( 2 persons),15,13.22,39.65,3,203
1131390,2F,Living room,19.34,15.46,46.39,3,204
1131391,2F,Living room,18.69,21.7,65.11,3,203
1131392,2F,Living room,18.69,21.7,65.11,3,202
1131393,2F,Living room,19.34,15.46,46.39,3,201
1131394,2F,Bedroom (2 persons),17,17.45,52.36,3,201
1131395,2F,Bedroom (2 persons),17,17.45,52.36,3,204
1131399,2F,Bathroom,10.11,6.38,19.15,3,202
1131400,2F,Bathroom,10.11,6.38,19.15,3,203
1131402,2F,Bathroom,10.01,6.13,18.39,3,201
1131404,2F,Bathroom,10.01,6.13,18.39,3,204
1131405,2F,Corridor,23.72,15.36,46.08,3,201
1131406,2F,Kitchen and dinning area,12.68,9.83,29.49,3,201
1131407,2F,Kitchen and dinning area,12.68,9.83,29.49,3,204
1131408,2F,Corridor,23.72,15.36,46.08,3,204
1131409,2F,Kitchen,10.7,7.15,21.46,3,202
1131410,2F,Kitchen,10.7,7.15,21.46,3,203
1131411,2F,Corridor,15.73,12.29,36.86,3,202
1131412,2F,Dinning area,16.82,13.21,39.62,3,202
1131413,2F,Dinning area,16.82,13.21,39.62,3,203
1131414,2F,Corridor,15.73,12.29,36.86,3,203
2078189,1F,Balcony,8.54,4.15,11.53,2.78,102
2078225,1F,Balcony,8.53,4.14,11.52,2.78,103
2078250,GF,Balcony,8.53,4.14,11.52,2.78,001
2078270,GF,Balcony,8.54,4.15,11.53,2.78,002
2078419,2F,Balcony,8.81,4.22,11.72,2.78,202
2078443,2F,Balcony,8.81,4.22,11.73,2.78,203
2078465,2F,Balcony,18.42,10.97,30.49,2.78,201
2078492,2F,Balcony,18.41,10.96,30.47,2.78,204
2078603,1F,Balcony,18.27,10.85,30.17,2.78,101
2078623,1F,Balcony,18.33,10.96,30.47,2.78,104
